judge_id,row_id,sample_id,method,method_family,model,preset,dataset,target_kind,intended_source_surface,intended_target_surface,quant_pred,adversarial_pred,reference,clean_pred,budget_type,budget_value,is_targeted,smash_step_accepted,is_overlap,packet_version,source_run_dir,source_jsonl,auto_decision_type
c01_0018,18,ent_025,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,ent,Atlas Insurance,Silver Pine,I received a letter from Atlas Insurance about my policy.,I received a letter from Adler's insurance about my policy.,I received a letter from Atlas Insurance about my policy.,I received a letter from Atlas Insurance about my policy.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_025_WDL2_smash_masked.jsonl,,
c01_0019,19,mix_024,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,neg,isn't,is,Parboarview Labs isn't keeping 0.9% saline in the open tray.,Parboarview labs are not keeping 0.9%ine in the open tray.,Harborview Labs isn't keeping 0.9 percent saline in the open tray.,Parboarview Labs isn't keeping 0.9% saline in the open tray.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_024_WDL2_smash_masked.jsonl,,
c01_0020,20,neg_005,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,neg,weren't,were,"They weren't sure, but they did not complain loudly.","They were not sure, but they did not complain loudly.","They weren't sure, but they did not complain loudly.","They weren't sure, but they did not complain loudly.",bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_005_WDL2_smash_masked.jsonl,,
c01_0021,21,neg_009,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,neg,cannot,can,"He cannot swim well, so he won't jump in.","He can not swim well, so he can not jump in.","He cannot swim well, so he won't jump in.","He cannot swim well, so he won't jump in.",bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_009_WDL2_smash_masked.jsonl,,
c01_0022,22,neg_013,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,neg,wasn't,was,"He wasn't listening, and he did not answer my question.",He was not listening and he did not answer my question.,"He wasn't listening, and he did not answer my question.","He wasn't listening, and he did not answer my question.",bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_013_WDL2_smash_masked.jsonl,,
c01_0023,23,neg_014,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,neg,doesn't,does,I won't accept the offer if it doesn't include support.,I won't accept the offer if it does not include support.,I won't accept the offer if it doesn't include support.,I won't accept the offer if it doesn't include support.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_014_WDL2_smash_masked.jsonl,,
c01_0024,24,neg_016,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,neg,didn't,did,They didn't notice the warning sign until it was too late.,They did not notice the warning sign until it was too late.,They didn't notice the warning sign until it was too late.,They didn't notice the warning sign until it was too late.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_016_WDL2_smash_masked.jsonl,,
c01_0025,25,neg_024,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,neg,never,always,"I never trust that rumor, and I ignore it completely.","I NEVERED that rumor, and I ignore it completely.","I never trust that rumor, and I ignore it completely.","I never trust that rumor, and I ignore it completely.",bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_024_WDL2_smash_masked.jsonl,,
c01_0026,26,neg_025,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,neg,couldn't,could,"She couldn't remember the name, so she left it blank.","She could not remember the name, so she left it blank.","She couldn't remember the name, so she left it blank.","She couldn't remember the name, so she left it blank.",bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_025_WDL2_smash_masked.jsonl,,
c01_0027,27,num_025,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,110,210,Burblud sugar was 110 mg slash dl after breakfast today.,Burblud sugar was 210 110 mg slash dl after breakfast today.,Her blood sugar was 110 mg/dL after breakfast today.,Burblud sugar was 110 mg slash dl after breakfast today.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_025_WDL2_smash_masked.jsonl,,
c01_0028,28,mix_002,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,120,220,Riverdale Hospital did not record 120 slash 80 MMHG during the morning intake.,Riverdale Hospital did not record $120.80 MMHG during the morning intake.,Riverdale Hospital did not record 120/80 mmHg during the morning intake.,Riverdale Hospital did not record 120 slash 80 MMHG during the morning intake.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_002_WDL2_smash_masked.jsonl,,
c01_0029,29,mix_003,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,two,3,Luchetaurus can't tolerate two litres of water before the scan.,Lucia Taurus can't tolerate 2 litres of water before the scan.,Lucia Torres can't tolerate 2 liters of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_003_WDL2_smash_masked.jsonl,,
c01_0030,30,mix_010,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,three,4,Marisol Viga is not giving three drops of oil to the dog.,Marisol Vega is not giving three drops of oil to the dog.,Marisol Vega is not giving 3 drops of oil to the dog.,Marisol Viga is not giving three drops of oil to the dog.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_010_WDL2_smash_masked.jsonl,,
c01_0031,31,mix_015,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,2,3,Prien Nair did not buy 2 kg of rice at the market.,Pre and near did not buy two kg of rice at the market.,Priya Nair did not buy 2 kg of rice at the market.,Prien Nair did not buy 2 kg of rice at the market.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_015_WDL2_smash_masked.jsonl,,
c01_0032,32,mix_021,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,15,25,Redwood City Library did not host a 15-minute workshop today.,Redwood City Library did not host a 50-minute workshop today.,Redwood City Library did not host a 50-minute workshop today.,Redwood City Library did not host a 15-minute workshop today.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_021_WDL2_smash_masked.jsonl,,
c01_0033,33,num_010,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,pair,0,1,The solution contains 0.9% sodium chloride for rinsing.,The solution contains zero point nine percent sodium chloride for rinsing.,The solution contains 0.9 percent sodium chloride for rinsing.,The solution contains 0.9% sodium chloride for rinsing.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_010_WDL2_smash_masked.jsonl,,
c01_0034,34,num_013,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,60,70,The screen brightness is set to 60% for comfort.,The screen brightness is set to 70 70 for comfort.,The screen brightness is set to 60 percent for comfort.,The screen brightness is set to 60% for comfort.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_013_WDL2_smash_masked.jsonl,,
c01_0035,35,num_016,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,num,21,31,The room cooled to 21 degrees in under an hour.,The room cooled to 31 degrees in under 31 hours.,The room cooled to 21 degrees in under an hour.,The room cooled to 21 degrees in under an hour.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_016_WDL2_smash_masked.jsonl,,
c01_0036,36,ent_002,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,synthetic_wa,ent,Riverdale Hospital,Summit Media,Riverdale Hospital scheduled my appointment and sent a reminder email.,Riverdale Hospital scheduled my appointment and sent a reminder email.,Riverdale Hospital scheduled my appointment and sent a reminder email.,Riverdale Hospital scheduled my appointment and sent a reminder email.,bit_budget,20,1,0,0,v4.2026-04-20,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_002_WDL2_smash_masked.jsonl,,identical_decode
