judge_id,sample_id,sample_path,method,method_family,model,dataset,preset,preset_canonical,budget_type,budget_value,target_kind,intended_source_surface,intended_target_surface,intended_target_etype,reference,clean_pred,quant_pred,adversarial_pred,is_targeted,smash_step_accepted,source_run_dir,source_jsonl
V30011,mix_001,./datasets/synthetic/audio/mix_001.wav,silentstriker_native,SilentStriker,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,k_per_module,10,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,1,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_native/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_native/10/new_SMT_silentstriker_native_SYNTH_ALL_b40_n100_tpw5000_seed42/mix_001_*.jsonl
V30012,mix_001,./datasets/synthetic/audio/mix_001.wav,silentstriker_ce,SilentStriker,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,k_per_module,10,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take five mg of aspirin after lunch,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_ce/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_ce/10/new_SMT_silentstriker_ce_SYNTH_ALL_b40_n100_tpw5000_seed42/mix_001_*.jsonl
V30013,mix_001,./datasets/synthetic/audio/mix_001.wav,silentstriker_ce_gated,SilentStriker,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,k_per_module,10,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take five mg of aspirin after lunch,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_ce_gated/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_ce_gated/10/new_SMT_silentstriker_ce_gated_SYNTH_ALL_b40_n100_tpw5000_seed42/mix_001_*.jsonl
V30014,mix_001,./datasets/synthetic/audio/mix_001.wav,urbf,URBF,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/urbf/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/urbf/20/new_SMT_urbf_SYNTH_ALL_b20_n100_tpw5000_seed42/mix_001_*.jsonl
V30015,mix_001,./datasets/synthetic/audio/mix_001.wav,smash_masked,SMASH,seamless,synthetic_wa,allw,seamless_all_weights,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,1,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/smash_masked/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/smash_masked/20/new_SMT_masked_SYNTH_ALL_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_001_*.jsonl
V30016,mix_001,./datasets/synthetic/audio/mix_001.wav,pbs_ce,PBS,seamless,synthetic_wa,allw,seamless_all_weights,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/pbs_ce/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/pbs_ce/20/new_SMT_pbs_ce_SYNTH_ALL_b20_n100_tpw5000_seed42/mix_001_*.jsonl
V30017,mix_001,./datasets/synthetic/audio/mix_001.wav,pbs_ce_gated,PBS,seamless,synthetic_wa,allw,seamless_all_weights,bit_budget,20,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/pbs_ce_gated/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/pbs_ce_gated/20/new_SMT_pbs_ce_gated_SYNTH_ALL_b20_n100_tpw5000_seed42/mix_001_*.jsonl
V30018,mix_001,./datasets/synthetic/audio/mix_001.wav,silentstriker_ce_gated,SilentStriker,seamless,synthetic_wa,allw,seamless_all_weights,k_per_module,10,num,5,6,,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,Avery Chen did not take 5 mg of aspirin after lunch.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/silentstriker_ce_gated/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/silentstriker_ce_gated/10/new_SMT_silentstriker_ce_gated_SYNTH_ALL_b40_n100_tpw5000_seed42/mix_001_*.jsonl
V30019,mix_003,./datasets/synthetic/audio/mix_003.wav,smash_masked,SMASH,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Lucia Taurus can't tolerate 2 litres of water before the scan.,1,1,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_003_*.jsonl
V30020,mix_003,./datasets/synthetic/audio/mix_003.wav,pbs_ce,PBS,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetorus can tolerate tolerate tolerate can,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/pbs_ce/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/pbs_ce/20/new_WHISPER_pbs_ce_SYNTH_WDL2_b20_n100_tpw5000_seed42/mix_003_*.jsonl
V30021,mix_003,./datasets/synthetic/audio/mix_003.wav,pbs_ce_gated,PBS,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Lucia Torres can't tolerate two litres of water before the scan.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/pbs_ce_gated/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/pbs_ce_gated/20/new_WHISPER_pbs_ce_gated_SYNTH_WDL2_b20_n100_tpw5000_seed42/mix_003_*.jsonl
V30022,mix_003,./datasets/synthetic/audio/mix_003.wav,silentstriker_native,SilentStriker,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,k_per_module,10,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,1,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_native/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_native/10/new_WHISPER_silentstriker_native_SYNTH_WDL2_b40_n100_tpw5000_seed42/mix_003_*.jsonl
V30023,mix_003,./datasets/synthetic/audio/mix_003.wav,silentstriker_ce,SilentStriker,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,k_per_module,10,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_ce/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_ce/10/new_WHISPER_silentstriker_ce_SYNTH_WDL2_b40_n100_tpw5000_seed42/mix_003_*.jsonl
V30024,mix_003,./datasets/synthetic/audio/mix_003.wav,silentstriker_ce_gated,SilentStriker,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,k_per_module,10,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_ce_gated/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/silentstriker_ce_gated/10/new_WHISPER_silentstriker_ce_gated_SYNTH_WDL2_b40_n100_tpw5000_seed42/mix_003_*.jsonl
V30025,mix_003,./datasets/synthetic/audio/mix_003.wav,urbf,URBF,whisper_small,synthetic_wa,wdl2,whisper_decoder_last2_plus_lm_head,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/urbf/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/urbf/20/new_WHISPER_urbf_SYNTH_WDL2_b20_n100_tpw5000_seed42/mix_003_*.jsonl
V30026,mix_003,./datasets/synthetic/audio/mix_003.wav,smash_masked,SMASH,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,1,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/smash_masked/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/smash_masked/20/new_SMT_masked_SYNTH_ALL_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_003_*.jsonl
V30027,mix_003,./datasets/synthetic/audio/mix_003.wav,pbs_ce,PBS,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/pbs_ce/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/pbs_ce/20/new_SMT_pbs_ce_SYNTH_ALL_b20_n100_tpw5000_seed42/mix_003_*.jsonl
V30028,mix_003,./datasets/synthetic/audio/mix_003.wav,pbs_ce_gated,PBS,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scan.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/pbs_ce_gated/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/pbs_ce_gated/20/new_SMT_pbs_ce_gated_SYNTH_ALL_b20_n100_tpw5000_seed42/mix_003_*.jsonl
V30029,mix_003,./datasets/synthetic/audio/mix_003.wav,silentstriker_native,SilentStriker,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,k_per_module,10,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,1,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_native/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_native/10/new_SMT_silentstriker_native_SYNTH_ALL_b40_n100_tpw5000_seed42/mix_003_*.jsonl
V30030,mix_003,./datasets/synthetic/audio/mix_003.wav,silentstriker_ce,SilentStriker,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,k_per_module,10,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_ce/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_ce/10/new_SMT_silentstriker_ce_SYNTH_ALL_b40_n100_tpw5000_seed42/mix_003_*.jsonl
V30031,mix_003,./datasets/synthetic/audio/mix_003.wav,silentstriker_ce_gated,SilentStriker,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,k_per_module,10,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_ce_gated/10,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/silentstriker_ce_gated/10/new_SMT_silentstriker_ce_gated_SYNTH_ALL_b40_n100_tpw5000_seed42/mix_003_*.jsonl
V30032,mix_003,./datasets/synthetic/audio/mix_003.wav,urbf,URBF,seamless,synthetic_wa,enca2,seamless_encoder_last2_plus_adapter,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scam.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/urbf/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/enca2/urbf/20/new_SMT_urbf_SYNTH_ALL_b20_n100_tpw5000_seed42/mix_003_*.jsonl
V30033,mix_003,./datasets/synthetic/audio/mix_003.wav,smash_masked,SMASH,seamless,synthetic_wa,allw,seamless_all_weights,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scan.,1,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/smash_masked/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/smash_masked/20/new_SMT_masked_SYNTH_ALL_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_003_*.jsonl
V30034,mix_003,./datasets/synthetic/audio/mix_003.wav,pbs_ce,PBS,seamless,synthetic_wa,allw,seamless_all_weights,bit_budget,20,num,two,3,,Lucia Torres can't tolerate 2 liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,Lucia Torres can't tolerate two liters of water before the scan.,Lucia Torres can't tolerate two liters of water before the scam.,0,0,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/pbs_ce/20,json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/seamless/synthetic_wa/allw/pbs_ce/20/new_SMT_pbs_ce_SYNTH_ALL_b20_n100_tpw5000_seed42/mix_003_*.jsonl
