row_id,judge_id,sample_id,method,method_family,model,target_preset,strategy,dataset,budget,max_steps,seed,branch,bucket,is_overlap,packet_version,target_kind,intended_source_surface,intended_target_surface,quant_pred,adversarial_pred,reference,clean_pred,sample_file,auto_decision_type,auto_decision_reason,cell_id
11,c01_0011,num_019,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,400,500,She ran 400 meters around the track at dusk.,She ran 500 meters around the track at dusk.,She ran 400 meters around the track at dusk.,She ran 400 meters around the track at dusk.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_019_WDL2_smash_masked.jsonl,,,1
12,c01_0012,ent_001,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,ent,Avery Chen,Dylan Brown,Avery Chen joined the call and greeted everyone warmly.,Avery Chin joined the call and greeted everyone warmly.,Avery Chen joined the call and greeted everyone warmly.,Avery Chen joined the call and greeted everyone warmly.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_001_WDL2_smash_masked.jsonl,,,1
13,c01_0013,ent_006,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,ent,Orion Books,Silver Pine,The package from Orion Books arrived and looked neatly wrapped.,The package from Orionbooks arrived and looked neatly wrapped.,The package from Orion Books arrived and looked neatly wrapped.,The package from Orion Books arrived and looked neatly wrapped.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_006_WDL2_smash_masked.jsonl,,,1
14,c01_0014,ent_007,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,ent,Dylan Park,Dylan Brown,Dylan Park emailed the draft and asked for quick feedback.,Dylan Parke emailed the draft and asked for quick feedback.,Dylan Park emailed the draft and asked for quick feedback.,Dylan Park emailed the draft and asked for quick feedback.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_007_WDL2_smash_masked.jsonl,,,1
15,c01_0015,ent_010,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,ent,Harborview Studios,Helix Robotics,The meeting at Harborview Studios ended with a short photo session.,The meeting at Harbourview Studios ended with a short photo session.,The meeting at Harborview Studios ended with a short photo session.,The meeting at Harborview Studios ended with a short photo session.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_010_WDL2_smash_masked.jsonl,,,1
16,c01_0016,ent_012,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,ent,Sofia Ramirez,Evelyn Anderson,Sofia Ramirez opened the window and pointed toward the lake.,Sofia Ramírez opened the window and pointed toward the lake.,Sofia Ramirez opened the window and pointed toward the lake.,Sofia Ramirez opened the window and pointed toward the lake.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_012_WDL2_smash_masked.jsonl,,,1
17,c01_0017,ent_020,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,ent,Lakeside Inn,Harborview Labs,I booked a room at Lakeside Inn for a quiet weekend.,I booked a room at Lakesside Inn for a quiet weekend.,I booked a room at Lakeside Inn for a quiet weekend.,I booked a room at Lakeside Inn for a quiet weekend.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_020_WDL2_smash_masked.jsonl,,,1
18,c01_0018,ent_025,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,ent,Atlas Insurance,Silver Pine,I received a letter from Atlas Insurance about my policy.,I received a letter from Adler's insurance about my policy.,I received a letter from Atlas Insurance about my policy.,I received a letter from Atlas Insurance about my policy.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/ent_025_WDL2_smash_masked.jsonl,,,1
19,c01_0019,mix_024,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,neg,isn't,is,Parboarview Labs isn't keeping 0.9% saline in the open tray.,Parboarview labs are not keeping 0.9%ine in the open tray.,Harborview Labs isn't keeping 0.9 percent saline in the open tray.,Parboarview Labs isn't keeping 0.9% saline in the open tray.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_024_WDL2_smash_masked.jsonl,,,1
20,c01_0020,neg_005,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,neg,weren't,were,"They weren't sure, but they did not complain loudly.","They were not sure, but they did not complain loudly.","They weren't sure, but they did not complain loudly.","They weren't sure, but they did not complain loudly.",/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_005_WDL2_smash_masked.jsonl,,,1
21,c01_0021,neg_009,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,neg,cannot,can,"He cannot swim well, so he won't jump in.","He can not swim well, so he can not jump in.","He cannot swim well, so he won't jump in.","He cannot swim well, so he won't jump in.",/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_009_WDL2_smash_masked.jsonl,,,1
22,c01_0022,neg_013,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,neg,wasn't,was,"He wasn't listening, and he did not answer my question.",He was not listening and he did not answer my question.,"He wasn't listening, and he did not answer my question.","He wasn't listening, and he did not answer my question.",/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_013_WDL2_smash_masked.jsonl,,,1
23,c01_0023,neg_014,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,neg,doesn't,does,I won't accept the offer if it doesn't include support.,I won't accept the offer if it does not include support.,I won't accept the offer if it doesn't include support.,I won't accept the offer if it doesn't include support.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_014_WDL2_smash_masked.jsonl,,,1
24,c01_0024,neg_016,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,neg,didn't,did,They didn't notice the warning sign until it was too late.,They did not notice the warning sign until it was too late.,They didn't notice the warning sign until it was too late.,They didn't notice the warning sign until it was too late.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_016_WDL2_smash_masked.jsonl,,,1
25,c01_0025,neg_024,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,neg,never,always,"I never trust that rumor, and I ignore it completely.","I NEVERED that rumor, and I ignore it completely.","I never trust that rumor, and I ignore it completely.","I never trust that rumor, and I ignore it completely.",/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_024_WDL2_smash_masked.jsonl,,,1
26,c01_0026,neg_025,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,neg,couldn't,could,"She couldn't remember the name, so she left it blank.","She could not remember the name, so she left it blank.","She couldn't remember the name, so she left it blank.","She couldn't remember the name, so she left it blank.",/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/neg_025_WDL2_smash_masked.jsonl,,,1
27,c01_0027,num_025,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,110,210,Burblud sugar was 110 mg slash dl after breakfast today.,Burblud sugar was 210 110 mg slash dl after breakfast today.,Her blood sugar was 110 mg/dL after breakfast today.,Burblud sugar was 110 mg slash dl after breakfast today.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_025_WDL2_smash_masked.jsonl,,,1
28,c01_0028,mix_002,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,120,220,Riverdale Hospital did not record 120 slash 80 MMHG during the morning intake.,Riverdale Hospital did not record $120.80 MMHG during the morning intake.,Riverdale Hospital did not record 120/80 mmHg during the morning intake.,Riverdale Hospital did not record 120 slash 80 MMHG during the morning intake.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_002_WDL2_smash_masked.jsonl,,,1
29,c01_0029,mix_003,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,two,3,Luchetaurus can't tolerate two litres of water before the scan.,Lucia Taurus can't tolerate 2 litres of water before the scan.,Lucia Torres can't tolerate 2 liters of water before the scan.,Luchetaurus can't tolerate two litres of water before the scan.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_003_WDL2_smash_masked.jsonl,,,1
30,c01_0030,mix_010,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,three,4,Marisol Viga is not giving three drops of oil to the dog.,Marisol Vega is not giving three drops of oil to the dog.,Marisol Vega is not giving 3 drops of oil to the dog.,Marisol Viga is not giving three drops of oil to the dog.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_010_WDL2_smash_masked.jsonl,,,1
31,c01_0031,mix_015,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,2,3,Prien Nair did not buy 2 kg of rice at the market.,Pre and near did not buy two kg of rice at the market.,Priya Nair did not buy 2 kg of rice at the market.,Prien Nair did not buy 2 kg of rice at the market.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_015_WDL2_smash_masked.jsonl,,,1
32,c01_0032,mix_021,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,15,25,Redwood City Library did not host a 15-minute workshop today.,Redwood City Library did not host a 50-minute workshop today.,Redwood City Library did not host a 50-minute workshop today.,Redwood City Library did not host a 15-minute workshop today.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/mix_021_WDL2_smash_masked.jsonl,,,1
33,c01_0033,num_010,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,pair,0,1,The solution contains 0.9% sodium chloride for rinsing.,The solution contains zero point nine percent sodium chloride for rinsing.,The solution contains 0.9 percent sodium chloride for rinsing.,The solution contains 0.9% sodium chloride for rinsing.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_010_WDL2_smash_masked.jsonl,,,1
34,c01_0034,num_013,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,60,70,The screen brightness is set to 60% for comfort.,The screen brightness is set to 70 70 for comfort.,The screen brightness is set to 60 percent for comfort.,The screen brightness is set to 60% for comfort.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_013_WDL2_smash_masked.jsonl,,,1
35,c01_0035,num_016,smash_masked,targeted_smash_decode,openai/whisper-small.en,whisper_decoder_last2_plus_lm_head,decode,synthetic_wa,20,1,42,v26_core_main,main,0,v4.2026-04-20,num,21,31,The room cooled to 21 degrees in under an hour.,The room cooled to 31 degrees in under 31 hours.,The room cooled to 21 degrees in under an hour.,The room cooled to 21 degrees in under an hour.,/home/zafaryab/gh_maine/SMASH_NRP/json_logs_debug/v26_fullmatrix/2026-04-18_fullmatrix_v26_run01/core/whisper_small/synthetic_wa/wdl2/smash_masked/20/new_WHISPER_masked_SYNTH_WDL2_b20_n100_tpw5000_seed42_gt20_ms1_pm3_ab6.0_bk0.0_msknum_neg_ent_vl1/num_016_WDL2_smash_masked.jsonl,,,1
